UNIQUEID;RECIPEID;PRODUCTID;STATIONID;STARTTIME;ENDTIME
3218cdea-e5b1-4e6c-b361-ae34015a54b7;PWCD;317a1184-75cd-42a9-8971-ccbefb2fe94a;ProflexFordDeviceAdapter;2022-06-03T16:59:53.155+01:00;2022-06-03T17:01:19.629+01:00
3fee9403-cca5-43c8-bd51-935ebf340201;PWCD;36120fba-17e3-4723-a376-78896548e695;ProflexVWDeviceAdapter;2022-06-03T17:00:18.54+01:00;2022-06-03T17:01:35.56+01:00
656fb44d-1725-4048-b35e-7b06ec95b742;PWCD;ff68edb9-405a-4dfe-b9dc-45c2f5a2eb57;ProflexFordDeviceAdapter;2022-06-03T17:01:20.349+01:00;2022-06-03T17:02:46.626+01:00
b4efd910-12ea-4c4c-839d-52dbf8acf4f2;PWCD;ca16c48b-f64b-4880-947e-9343ce780022;ProflexVWDeviceAdapter;2022-06-03T17:01:36.331+01:00;2022-06-03T17:02:51.319+01:00
c67e3c4a-35b8-4ec2-ad9b-716a2f0ae2c6;PWCD;ff8f9bee-e1ca-44c8-9e42-24bd97c536c7;ProflexVWDeviceAdapter;2022-06-03T17:02:52.112+01:00;2022-06-03T17:04:07.323+01:00
8077fb8b-216d-48a1-9132-9fbc75a3e967;PWCD;04ff8373-559b-4e08-8aa5-6c382d37ea79;ProflexFordDeviceAdapter;2022-06-03T17:02:47.283+01:00;2022-06-03T17:04:13.613+01:00
e8975830-c2cd-48bd-805d-7f261e9b9633;PWD;ed77617e-570f-4348-9155-6a0ce7a62e25;ProflexFordDeviceAdapter;2022-06-03T16:22:01.998+01:00;2022-06-03T16:23:18.19+01:00
6c4af235-8335-449f-adbd-b4dd91ee1b91;PWD;4b826cc4-252d-491c-9dcf-815d62abbeca;ProflexFordDeviceAdapter;2022-06-23T11:14:57.165+01:00;2022-06-23T11:15:42.903+01:00
5f1bb9ee-e29c-4261-bd1c-1bd3e8c557a3;PWD;b1cf9e2f-f29a-44ef-939f-34bb8aaa983e;ProflexVWDeviceAdapter;2022-06-23T11:17:28.404+01:00;2022-06-23T11:18:03.834+01:00
7a99d1a1-2db5-4f0a-b82d-42e4e6303fa6;PWD;2fc81da5-0a13-4109-a4fd-9edbb57b6e96;ProflexFordDeviceAdapter;2022-06-23T11:17:28.56+01:00;2022-06-23T11:18:13.984+01:00
143fe8bc-7000-415b-bc73-740200cdf72b;PWD;c8c81f8d-5698-4591-b41b-7c9bde4053fb;ProflexVWDeviceAdapter;2022-06-23T11:18:04.632+01:00;2022-06-23T11:18:41.831+01:00
09677b9a-f3f9-439d-8819-7f363a92bb43;PWD;2c2f7be3-3b7c-4a3f-b2e8-59b7a1858c49;ProflexFordDeviceAdapter;2022-06-23T11:18:14.916+01:00;2022-06-23T11:19:03.978+01:00
8a88a134-a5eb-4a41-a3ef-1f2a2c2bcbe8;PWD;2cb0e059-e835-4d31-b275-178163aa5952;ProflexVWDeviceAdapter;2022-06-23T11:18:42.951+01:00;2022-06-23T11:19:19.811+01:00
518d99eb-0dbc-486a-a071-824ee3eca92a;PWD;dc3b8569-f152-4e35-8b38-f79e07c04f4f;ProflexFordDeviceAdapter;2022-06-23T11:19:04.94+01:00;2022-06-23T11:19:55.199+01:00
50f75b43-ed3f-405b-86a4-b4f079d1f680;PWD;93b7f33d-1b93-4389-b1d3-0298e12761b9;ProflexVWDeviceAdapter;2022-06-23T11:19:20.725+01:00;2022-06-23T11:19:57.857+01:00
48763f9a-d3dd-494a-aa07-5c4d75af87a9;PWD;bd5e6cbe-9a2b-4bfc-b4f4-cd7cd89eedf4;ProflexVWDeviceAdapter;2022-06-23T11:19:58.709+01:00;2022-06-23T11:20:35.749+01:00
872f5366-366d-4538-9f8f-0dcc9ee8de70;PWD;21d8834d-7863-4b25-8b89-8e7d48b284b1;ProflexFordDeviceAdapter;2022-06-23T11:19:56.016+01:00;2022-06-23T11:20:44.996+01:00
5dbdb6d1-176e-4139-8060-16ae58518975;PWD;93269a0c-9295-4831-8774-04e0ca7d132e;ProflexVWDeviceAdapter;2022-06-23T11:20:36.819+01:00;2022-06-23T11:21:13.846+01:00
a7a04ab4-7e54-4fc6-84dd-14c37baa66fe;PWD;4ce6f959-5a07-4183-8242-e08ad5d3992b;ProflexFordDeviceAdapter;2022-06-23T11:20:45.614+01:00;2022-06-23T11:21:39.169+01:00
efc73460-3d99-48d2-982b-52f386791be4;PWD;de5ce709-8a7c-49c8-bd47-5aa2a7313f2d;ProflexVWDeviceAdapter;2022-06-23T11:21:14.793+01:00;2022-06-23T11:21:54.876+01:00
d0268e66-dd01-44e7-9afb-702c3eefbf88;PWD;43edf498-0d4b-413d-a536-e75b2dec2178;ProflexFordDeviceAdapter;2022-06-23T11:21:39.396+01:00;2022-06-23T11:22:33.128+01:00
539a1a84-5231-489c-ac1b-04713463b5ae;PWD;d559d98a-31b6-465a-afa7-8f5d56b00570;ProflexVWDeviceAdapter;2022-06-23T11:21:56.175+01:00;2022-06-23T11:22:35.72+01:00
fb370200-7ef8-4a46-8d89-26d711543ce9;PWD;eade78f2-f62a-4d41-88b5-916da10ca88e;ProflexVWDeviceAdapter;2022-06-23T11:22:36.604+01:00;2022-06-23T11:23:16.824+01:00
3d16578e-7204-4ce0-8f33-3f6869b3b1af;PWD;eb1d9544-c006-4d5f-b1c7-689c56767b07;ProflexFordDeviceAdapter;2022-06-23T11:22:33.762+01:00;2022-06-23T11:23:27.185+01:00
d3346809-b9eb-4f0b-bf2f-5a5edc0094f2;PWD;01f498db-9e2a-4ed5-b8f6-e86f9ec52286;ProflexVWDeviceAdapter;2022-06-23T11:23:17.999+01:00;2022-06-23T11:23:57.82+01:00
0c5cc594-c5a6-41c1-a77f-5992937a73a0;PWD;0c5b9f8f-9ca7-4419-a1ca-3de27844c0e1;ProflexFordDeviceAdapter;2022-06-23T11:23:27.469+01:00;2022-06-23T11:24:20.959+01:00
64bd1f10-721c-44d4-8c81-fc042f02d428;PWD;f348120c-5518-45f7-8395-c1d267585857;ProflexVWDeviceAdapter;2022-06-23T11:23:58.729+01:00;2022-06-23T11:24:38.878+01:00
5b89853c-6d8d-4ac3-8bdb-5c145ee2c1ce;PWD;fa1b3334-8924-4b26-a025-d3c84b18a721;ProflexFordDeviceAdapter;2022-06-23T11:24:21.625+01:00;2022-06-23T11:25:15.15+01:00
f4b22b4b-a78c-4002-ad3e-a2f83940a9af;PWD;62541af1-ace0-4084-846a-65f03f3d23a5;ProflexVWDeviceAdapter;2022-06-23T11:24:40.133+01:00;2022-06-23T11:25:22.764+01:00
e951ab73-645c-4b8f-8908-35ce79ab8b63;PWD;885f3bdc-96c0-46a4-9412-9311d0134ada;ProflexVWDeviceAdapter;2022-06-23T11:25:23.214+01:00;2022-06-23T11:26:06.697+01:00
2cf88a48-64a3-4094-9d19-c30c771e4910;PWD;501eddaa-f3f5-4605-b74d-788fc4676aa2;ProflexFordDeviceAdapter;2022-06-23T11:25:15.397+01:00;2022-06-23T11:26:14.062+01:00
fad938db-dcc7-4f1e-821b-a0c1cf1ea182;PWD;df26c82a-4c9d-4024-9e38-3523ec496a48;ProflexVWDeviceAdapter;2022-06-23T11:26:07.417+01:00;2022-06-23T11:26:51.69+01:00
b4e51385-db22-4a5f-9f6f-7f9fa0e0f391;PWD;a112c0e3-e600-40ae-b64e-dfac6ee8b78f;ProflexFordDeviceAdapter;2022-06-23T11:26:14.562+01:00;2022-06-23T11:27:12.001+01:00
8612ba9c-8e5d-42dc-9708-11fb10bcceda;PWD;3cfab9a9-fa9c-4e59-af59-50284961dbbb;ProflexVWDeviceAdapter;2022-06-23T11:26:52.41+01:00;2022-06-23T11:27:36.762+01:00
ec591781-bfc3-42a1-b49c-58e0d6e504d2;PWD;3dac02cc-f697-4206-9f5d-cb929b37faa3;ProflexFordDeviceAdapter;2022-06-23T11:27:12.641+01:00;2022-06-23T11:28:12.967+01:00
b007abbb-ef8b-4e1c-94af-d452cf027326;PWD;19c5923d-2535-4e24-aee6-557a93b8f9ba;ProflexVWDeviceAdapter;2022-06-23T11:27:37.411+01:00;2022-06-23T11:28:21.723+01:00
b29404f6-6b80-4f6e-abec-986bab678b95;PWD;730c14f8-5fed-4809-bfbf-6ee7791fa9c8;ProflexVWDeviceAdapter;2022-06-23T11:28:22.558+01:00;2022-06-23T11:29:06.919+01:00
6dc1a691-ebfc-40b9-a666-05e00e412b14;PWD;7585f6df-f993-43cd-beb0-3f81e59ec55c;ProflexFordDeviceAdapter;2022-06-23T11:28:13.52+01:00;2022-06-23T11:29:12.652+01:00
351526b2-a91c-4a3e-8fda-29f54b2bc0c4;PWD;1d4f12e0-b088-4abe-bdcc-9b6a6dc8df6a;ProflexVWDeviceAdapter;2022-06-23T11:29:07.738+01:00;2022-06-23T11:29:56.861+01:00
3d30457a-dedb-4614-97e0-d5418c1038b4;PWD;681b58df-b807-4491-89d3-0f2dff197ef3;ProflexFordDeviceAdapter;2022-06-23T11:29:12.927+01:00;2022-06-23T11:30:18.99+01:00
3b343777-7b3e-44a2-88ea-bad83040d71e;PWD;ea8e88bb-eefb-4459-a975-0ddfc36c387f;ProflexVWDeviceAdapter;2022-06-23T11:29:57.918+01:00;2022-06-23T11:30:46.855+01:00
97f37d8a-206e-4adb-8433-20ac7a7797a7;PWD;af5f9320-136e-4926-8d68-d2b939226f9b;ProflexFordDeviceAdapter;2022-06-23T11:30:19.197+01:00;2022-06-23T11:31:25.011+01:00
a59e1eb0-4bf2-42d8-8322-1fe03a0183b7;PWD;7cb52e5f-ad85-4209-a551-4f619d27f3cb;ProflexVWDeviceAdapter;2022-06-23T11:30:47.915+01:00;2022-06-23T11:31:36.896+01:00
bc25a0a9-a088-403e-98cc-6977a599515b;PWD;d2177e68-eecc-45c4-ba1d-3352c7b920c5;ProflexVWDeviceAdapter;2022-06-23T11:31:37.726+01:00;2022-06-23T11:32:26.91+01:00
